user_id1,teamchat_session_id1,date1,user_id2,teamchat_session_id2,date2,chat_item3,user_id3,date3,chatid14,chatid24,date4
1588,6776,1464233999,1244,6821,1464241204,6824,1847,1464235815,6934,6928,1464243031
350,6777,1464234000,1074,6838,1464243024,6865,789,1464239415,6950,6865,1464243047
740,6778,1464234001,350,6777,1464246654,6906,518,1464243003,6955,6935,1464243052
1068,6779,1464234002,1349,6792,1464248401,6934,240,1464243031,6967,6935,1464244802
1554,6780,1464234003,1219,6854,1464248403,6968,1482,1464244803,6980,6977,1464244815
668,6781,1464234004,1398,6780,1464248416,6976,1792,1464244811,6993,6906,1464244828
1989,6782,1464234005,500,6922,1464248426,6983,767,1464244818,7020,6824,1464246612
540,6783,1464234006,20,6799,1464248434,6986,1256,1464244821,7027,6941,1464246619
516,6784,1464234007,2004,6925,1464250200,7018,743,1464246610,7034,6990,1464246626
630,6785,1464234008,1051,6859,1464252004,7020,1847,1464246612,7052,7050,1464246644
1847,6779,1464234009,442,7035,1464252013,7044,438,1464246636,7076,7021,1464248399
461,6787,1464234010,14,6782,1464255605,7079,14,1464248402,7086,7031,1464248409
708,6783,1464234011,2100,6791,1464259200,7083,1450,1464248406,7091,7031,1464248414
417,6789,1464234012,1996,6858,1464261004,7085,869,1464248408,7100,6976,1464248423
1038,6790,1464234013,540,6783,1464262807,7091,869,1464248414,7112,6993,1464248435
2100,6791,1464234014,1324,6821,1464262808,7105,1095,1464248428,7113,7049,1464248436
1349,6792,1464234015,1237,6819,1464262825,7118,1487,1464248441,7135,7081,1464250203
1606,6780,1464234016,1606,6780,1464262827,7135,1494,1464250203,7141,7115,1464250209
1479,6794,1464234017,1535,6795,1464262838,7136,14,1464250204,7152,7145,1464250220
1535,6795,1464234018,88,6821,1464264607,7141,1769,1464250209,7157,7150,1464250225
192,6796,1464234019,1920,6956,1464268200,7146,1769,1464250214,7161,6950,1464250229
1311,6797,1464234020,554,6820,1464268209,7147,1085,1464250215,7175,6944,1464252001
518,6782,1464234021,1019,6817,1464268212,7157,388,1464250225,7179,7175,1464252005
20,6799,1464234022,97,6911,1464270001,7180,1366,1464252006,7185,6980,1464252011
214,6800,1464234023,1599,6782,1464275422,7183,789,1464252009,7206,7157,1464253800
789,6796,1464235799,621,6914,1464275430,7186,1873,1464252012,7209,7009,1464253803
521,6809,1464235800,2093,6922,1464275441,7190,1755,1464252016,7210,6939,1464253804
1754,6810,1464235801,516,6784,1464277207,7191,863,1464252017,7232,7105,1464255601
1059,6811,1464235802,967,6783,1464277215,7194,350,1464252020,7235,7196,1464255604
303,6813,1464235804,423,6925,1464277219,7231,1253,1464255600,7252,7231,1464257400
294,6783,1464235805,37,7104,1464277228,7232,1095,1464255601,7254,7174,1464257402
291,6815,1464235806,240,6783,1464279011,7253,915,1464257401,7272,6988,1464259206
1090,6783,1464235807,696,6943,1464279052,7268,1847,1464259202,7277,6968,1464259211
702,6817,1464235808,1084,6778,1464280801,7286,1920,1464259220,7278,7092,1464259212
1673,6818,1464235809,1665,6811,1464282605,7297,876,1464259231,7279,7183,1464259213
265,6819,1464235810,1665,6811,1464284413,7317,1671,1464261003,7283,7282,1464259217
554,6820,1464235811,214,6800,1464284416,7332,1920,1464262801,7316,7115,1464261002
515,6821,1464235812,294,6783,1464284437,7333,1487,1464262802,7344,7291,1464262813
674,6778,1464235813,428,6886,1464288006,7344,1019,1464262813,7351,7033,1464262820
1125,6792,1464235814,683,6889,1464288009,7346,1107,1464262815,7357,7027,1464262826
1755,6799,1464237599,876,6920,1464289837,7355,128,1464262824,7371,7052,1464262840
63,6784,1464237600,1268,6791,1464291605,7362,1126,1464262831,7389,7041,1464264600
1074,6838,1464237601,1514,7212,1464291611,7371,1272,1464262840,7392,7046,1464264603
1503,6792,1464237602,1305,6925,1464291630,7389,1848,1464264600,7398,7159,1464264609
1627,6784,1464237604,1703,7035,1464291632,7398,199,1464264609,7411,7211,1464264622
650,6811,1464237605,1588,6776,1464291636,7411,368,1464264622,7441,7368,1464266415
1596,6791,1464239399,128,6810,1464293409,7425,1792,1464266399,7444,7274,1464266418
733,6850,1464239400,1318,6910,1464295204,7427,1285,1464266401,7466,7059,1464268202
1244,6821,1464239401,1839,6780,1464295210,7438,1709,1464266412,7481,7047,1464268217
863,6811,1464239402,701,6792,1464295238,7445,735,1464266419,7484,7274,1464268220
69,6853,1464239403,767,6791,1464295257,7448,1256,1464266422,7499,7157,1464270000
1219,6854,1464239404,110,6854,1464297004,7470,683,1464268206,7501,7047,1464270002
1256,6785,1464239405,456,6810,1464297007,7477,2047,1464268213,7503,7148,1464270004
438,6790,1464239406,1035,6790,1464297023,7479,1769,1464268215,7508,7463,1464270009
319,6857,1464239407,483,6779,1464297027,7480,263,1464268216,7543,7516,1464273603
1996,6858,1464239408,1126,6888,1464297029,7481,1084,1464268217,7551,7145,1464273611
1051,6859,1464239409,394,6875,1464298805,7484,438,1464268220,7555,7016,1464273615
767,6791,1464239410,735,6792,1464298806,7509,1975,1464270010,7556,7044,1464273616
1366,6810,1464239412,380,6792,1464298813,7510,1450,1464270011,7558,6993,1464273618
440,6863,1464239413,97,6911,1464298836,7514,20,1464270015,7560,7009,1464273620
1955,6866,1464239416,1204,6776,1464304212,7527,365,1464271800,7564,7173,1464273624
1335,6866,1464239417,1548,6776,1464304215,7548,449,1464273608,7572,7021,1464273632
288,6868,1464239418,1034,6794,1464306001,7561,333,1464273621,7574,7436,1464273634
983,6799,1464239421,1816,6946,1464306007,7562,1241,1464273622,7580,7480,1464273640
9,6776,1464239423,1056,6780,1464309612,7566,987,1464273626,7589,7475,1464273649
